Intention,Usefulness,Ease,Trust,Gender,Condition,AgeGroup
100,0,100,75.0,0,1,1
50,34,83,75.0,1,2,2
2,3,1,75.0,1,0,1
19,21,50,75.0,1,0,1
0,0,50,75.0,1,0,1
71,81,81,75.0,0,2,2
100,0,100,75.0,1,2,1
74,77,74,75.0,0,1,2
50,50,50,75.0,1,2,0
50,50,89,75.0,1,1,2
100,91,66,75.0,0,1,1
100,100,100,75.0,0,2,1
84,64,86,75.0,1,1,1
91,91,91,75.0,1,2,1
70,75,34,75.0,0,1,1
69,62,80,75.0,0,2,1
94,32,92,75.0,1,2,2
87,93,32,75.0,0,1,1
67,31,23,75.0,1,2,1
0,26,68,75.0,1,2,1
87,97,95,75.0,0,2,0
28,83,94,75.0,0,0,0
63,34,89,75.0,0,2,0
75,27,100,75.0,0,0,0
82,0,100,75.0,1,0,0
67,56,100,75.0,1,1,0
64,19,68,75.0,0,0,0
77,75,100,75.0,0,0,0
76,25,77,75.0,0,0,3
31,33,82,75.0,0,1,1
100,100,80,75.0,0,0,3
100,100,100,75.0,0,2,0
50,20,50,75.0,0,2,0
0,0,70,75.0,1,0,1
50,50,0,75.0,0,1,1
20,2,50,75.0,1,2,2
100,100,90,75.0,0,1,2
28,64,25,75.0,1,1,2
65,61,70,75.0,1,1,1
100,80,81,75.0,0,1,1
30,15,35,75.0,1,2,1
50,50,100,75.0,0,2,2
50,55,50,75.0,1,2,0
50,78,82,75.0,1,2,1
75,50,32,75.0,1,2,3
100,100,100,75.0,0,0,2
100,100,80,75.0,0,0,0
50,27,99,75.0,1,1,0
15,10,20,75.0,0,1,0
67,22,100,75.0,1,1,0
50,33,68,75.0,1,0,0
100,26,100,75.0,0,1,0
50,50,50,75.0,0,0,0
53,50,79,75.0,1,1,0
100,100,100,75.0,1,1,0
20,44,100,75.0,0,2,0
81,30,79,75.0,0,1,0
50,75,50,75.0,0,1,0
0,100,86,75.0,0,2,0
50,72,0,75.0,1,1,0
100,100,100,75.0,1,2,0
50,50,50,75.0,1,2,0
94,50,50,75.0,0,2,0
50,50,50,75.0,0,0,1
81,58,100,75.0,1,1,0
100,100,100,75.0,0,0,0
0,80,20,75.0,0,2,0
79,100,50,75.0,0,1,0
100,100,0,75.0,1,1,0
100,100,0,75.0,0,2,0
50,0,100,75.0,1,0,0
64,94,50,75.0,0,2,3
78,75,98,75.0,1,1,2
88,50,75,75.0,0,1,2
68,79,83,75.0,1,0,3
86,79,100,75.0,1,0,0
79,100,100,75.0,0,2,0
50,25,80,75.0,1,2,0
87,82,75,75.0,1,1,0
68,50,79,75.0,1,0,1
75,92,32,75.0,0,2,0
0,100,50,75.0,1,1,0
50,50,0,75.0,0,0,2
50,90,50,75.0,1,1,2
45,41,42,75.0,0,0,0
100,100,87,75.0,0,0,3
100,100,98,75.0,0,0,2
0,0,50,75.0,1,1,2
70,75,78,75.0,1,2,1
50,94,83,75.0,0,0,3
0,0,100,75.0,0,2,0
50,50,100,75.0,0,1,2
0,19,31,75.0,1,2,2
0,0,50,75.0,1,0,0
50,75,50,75.0,0,1,3
80,50,20,75.0,0,1,1
72,61,81,75.0,1,1,1
100,100,100,75.0,0,1,1
30,50,77,75.0,1,0,1
10,11,50,75.0,0,1,3
100,27,100,75.0,0,0,0
13,25,86,75.0,0,1,3
100,100,100,75.0,0,2,1
5,72,100,75.0,1,2,2
50,86,50,75.0,0,0,3
100,100,100,75.0,0,0,0
19,0,9,75.0,1,2,3
81,96,93,75.0,0,1,0
59,80,50,75.0,0,2,3
6,17,50,75.0,1,1,2
100,88,53,75.0,1,0,0
87,84,19,75.0,0,1,1
10,20,74,75.0,0,0,2
0,0,93,75.0,1,2,2
5,86,57,75.0,1,2,1
50,85,25,75.0,0,2,0
68,85,95,75.0,0,0,1
100,100,100,75.0,1,1,0
66,80,95,75.0,1,0,2
50,50,90,75.0,1,2,1
72,85,19,75.0,0,2,1
20,16,75,75.0,1,2,2
85,84,50,75.0,0,1,2
100,84,90,75.0,0,1,0
50,50,50,75.0,0,1,2
100,50,31,75.0,1,2,0
0,17,67,75.0,1,1,2
0,0,0,75.0,0,1,2
80,50,84,75.0,1,1,2
100,100,100,75.0,0,0,0
0,0,0,75.0,1,2,2
4,1,88,75.0,1,2,2
100,87,96,75.0,0,1,1
73,74,79,75.0,0,2,0
100,100,100,75.0,0,0,0
0,83,100,75.0,1,0,1
75,72,81,75.0,0,1,0
73,66,78,75.0,0,0,1
62,50,63,75.0,0,2,3
100,98,0,75.0,1,2,1
82,95,17,75.0,0,0,3
86,73,89,75.0,0,0,1
10,1,86,75.0,1,0,2
50,50,100,75.0,0,2,1
72,67,63,75.0,1,2,2
50,92,84,75.0,0,2,2
62,65,42,75.0,0,1,0
72,69,24,75.0,0,0,1
100,100,100,75.0,1,0,1
3,26,50,75.0,1,2,1
68,64,79,75.0,1,1,2
18,20,8,75.0,1,2,1
81,6,50,75.0,0,2,0
80,84,50,75.0,1,0,1
70,50,11,75.0,1,0,2
50,50,91,75.0,0,0,1
100,100,99,75.0,0,1,0
100,100,100,75.0,0,1,1
8,69,5,75.0,1,0,3
75,50,29,75.0,0,1,1
50,92,50,75.0,1,0,2
0,50,43,75.0,0,1,0
50,50,50,75.0,1,2,3
0,19,30,75.0,0,2,3
40,30,50,75.0,1,0,2
50,10,50,75.0,1,2,1
100,96,0,75.0,1,2,2
100,100,50,75.0,0,2,0
50,31,34,75.0,1,1,1
38,50,100,75.0,0,0,0
100,74,41,75.0,1,0,1
90,81,75,75.0,0,0,2
100,60,0,75.0,0,2,3
0,0,14,75.0,0,0,3
71,73,100,75.0,1,1,1
83,81,20,75.0,0,1,1
18,21,20,75.0,1,1,3
27,75,22,75.0,0,1,3
100,100,100,75.0,0,2,1
0,0,0,75.0,1,1,3
13,2,59,75.0,1,1,0
0,15,0,75.0,1,2,2
79,78,68,75.0,1,2,0
0,0,35,75.0,1,2,0
30,50,50,75.0,1,0,0
50,50,100,75.0,0,2,3
10,19,78,75.0,1,2,2
75,81,100,75.0,1,0,1
0,10,45,75.0,0,0,0
100,100,79,75.0,0,0,0
100,100,74,75.0,0,1,0
0,27,100,75.0,0,0,0
15,100,84,75.0,0,1,2
0,41,49,75.0,1,0,2
0,0,0,75.0,0,0,0
65,94,100,75.0,1,0,0
60,70,40,75.0,1,1,2
100,100,100,75.0,0,0,2
32,50,50,75.0,1,2,2
50,50,50,75.0,1,1,2
28,63,59,75.0,0,0,2
50,100,96,75.0,1,1,2
50,75,80,75.0,1,1,0
48,2,45,75.0,0,2,0
97,6,8,75.0,0,2,1
85,100,96,75.0,0,0,1
50,15,100,75.0,0,1,1
89,88,93,75.0,1,1,0
100,100,75,75.0,0,0,2
10,40,40,75.0,0,1,0
100,80,90,75.0,0,2,0
20,2,50,75.0,1,1,1
100,100,99,75.0,0,0,0
50,0,72,75.0,0,1,2
50,100,71,75.0,1,1,0
100,100,50,75.0,0,0,2
80,81,80,75.0,1,0,0
100,91,62,75.0,1,0,3
100,100,10,75.0,0,2,2
100,100,67,75.0,1,2,0
67,100,77,75.0,0,0,0
76,72,67,75.0,0,1,0
100,100,100,75.0,1,0,0
67,89,72,75.0,1,1,0
100,100,100,75.0,1,1,0
100,100,100,75.0,0,2,3
100,100,100,75.0,0,2,0
100,61,100,75.0,0,1,0
31,31,68,75.0,0,1,0
13,19,50,75.0,0,0,0
0,0,51,75.0,1,2,2
26,50,50,75.0,1,0,0
34,32,41,75.0,1,0,0
84,86,97,75.0,1,1,0
50,20,15,75.0,1,2,0
50,50,90,75.0,1,1,0
70,22,75,75.0,0,2,3
50,50,66,75.0,1,1,2
100,100,100,75.0,0,2,3
50,50,50,75.0,0,1,0
85,93,100,75.0,0,2,0
0,18,100,75.0,1,2,1
50,16,50,75.0,0,0,3
13,50,100,75.0,1,0,0
100,73,68,75.0,1,2,0
1,1,77,75.0,1,2,0
100,100,50,75.0,0,1,0
0,52,100,75.0,0,1,0
50,50,50,75.0,1,0,0
34,15,45,75.0,1,2,0
50,50,79,75.0,1,1,3
50,50,94,75.0,1,1,0
69,100,66,75.0,0,0,0
60,60,61,75.0,1,0,2
25,23,34,75.0,0,1,2
50,90,50,75.0,1,1,3
0,0,50,75.0,1,2,3
13,0,69,75.0,1,1,0
84,77,79,75.0,0,1,1
31,77,100,75.0,1,1,0
91,76,97,75.0,0,1,0
0,100,100,75.0,0,2,4
50,50,50,75.0,1,2,0
85,59,50,75.0,1,0,0
50,14,81,75.0,1,2,0
50,50,100,75.0,1,1,2
65,50,75,75.0,0,1,2
95,100,41,75.0,0,2,1
70,27,71,75.0,1,2,1
29,0,85,75.0,1,2,1
25,32,94,75.0,0,2,2
100,100,100,96.0,0,1,0
17,22,0,86.0,1,1,1
30,70,80,80.0,0,2,1
100,100,50,50.0,0,1,0
75,77,68,90.0,1,2,0
86,85,81,50.0,1,2,2
100,100,100,100.0,0,2,2
38,21,85,55.0,0,0,0
33,15,15,30.0,0,2,3
50,50,50,50.0,1,1,1
50,84,78,66.0,0,0,1
98,96,97,79.0,0,0,1
75,75,77,100.0,1,1,1
50,50,50,50.0,0,0,0
12,29,50,47.0,1,2,0
100,100,100,78.0,0,1,2
0,50,91,0.0,1,2,0
1,9,12,6.0,1,0,0
0,100,100,25.0,0,2,1
14,25,8,22.0,0,0,2
90,100,83,75.0,1,2,1
100,19,80,50.0,0,2,0
10,5,20,70.0,1,2,0
16,46,50,50.0,1,1,1
36,40,34,66.0,1,0,0
76,100,100,100.0,0,0,2
100,100,100,100.0,0,2,0
100,100,100,50.0,0,0,0
21,50,26,17.0,0,2,1
100,100,100,50.0,1,2,0
50,100,50,100.0,1,2,0
0,50,66,100.0,1,1,0
100,100,100,100.0,1,0,1
100,100,100,70.0,1,2,0
100,0,72,100.0,0,0,0
100,100,62,37.0,1,0,0
0,100,0,50.0,1,2,0
50,50,50,50.0,0,1,0
100,100,9,89.0,1,0,0
15,0,32,0.0,0,2,0
22,19,100,100.0,0,1,0
10,31,50,50.0,1,0,0
50,57,42,60.0,0,2,0
50,16,50,30.0,1,1,0
64,76,100,73.0,0,1,0
67,71,50,100.0,0,2,0
74,69,75,34.0,0,1,0
50,60,50,100.0,0,1,0
100,100,100,100.0,1,1,0
99,70,100,85.0,1,0,0
